"UID","Price_Change","Percent_Change","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"173884 ASDA Grower's Selection Apricots (320g)",0,0,"173884","ASDA Grower's Selection Apricots (320g)","Apricots","ASDA Grower's Selection Apricots ","ASDA",1.19,NA,3.72,"320g","Kg",2019-01-21
"NA Lidl Apricots (320g)",0,0,"NA","Lidl Apricots (320g)","Apricots","Lidl Apricots ","Lidl",0.95,NA,2.97,"320g","Kg",2019-01-21
"311958 Morrisons Apricots (325g)",0,0,"311958","Morrisons Apricots (325g)","Apricots","Morrisons Apricots ","Morrisons",1,NA,3.08,"325g","Kg",2019-01-21
"266090 Essential Waitrose Home Ripening Apricots (320g)",0,0,"266090","Essential Waitrose Home Ripening Apricots (320g)","Apricots","Essential Waitrose Home Ripening Apricots ","Ocado",2.99,NA,9.34,"320g","Kg",2019-01-21
"383632 Ocado Ripen at Home Apricots (320g)",0,0,"383632","Ocado Ripen at Home Apricots (320g)","Apricots","Ocado Ripen at Home Apricots ","Ocado",2.98,NA,7.44,"320g","Kg",2019-01-21
"025123 Sainsbury's Apricots (320g)",0,0,"025123","Sainsbury's Apricots (320g)","Apricots","Sainsbury's Apricots ","Sainsburys",1.5,NA,4.69,"320g","Kg",2019-01-21
"391355 Sainsbury's Apricot Ripe & Ready (5)",0,0,"391355","Sainsbury's Apricot Ripe & Ready (5)","Apricots","Sainsbury's Apricot Ripe & Ready ","Sainsburys",2,NA,0.4,"5","Each",2019-01-21
"227351 Tesco Juicy Apricots (320g)",0,0,"227351","Tesco Juicy Apricots (320g)","Apricots","Tesco Juicy Apricots ","Tesco",2,NA,6.25,"320g","Kg",2019-01-21
"027363 ASDA Grower's Selection Ripe Avocados (2)",0,0,"027363","ASDA Grower's Selection Ripe Avocados (2)","Avocado","ASDA Grower's Selection Ripe Avocados ","ASDA",1.6,NA,0.8,"2","Each",2019-01-21
"480226 ASDA Grower's Selection Ripen at Home Avacodos (4)",0,0,"480226","ASDA Grower's Selection Ripen at Home Avacodos (4)","Avocado","ASDA Grower's Selection Ripen at Home Avacodos ","ASDA",1.8,NA,0.45,"4","Each",2019-01-21
"480225 ASDA Grower's Selection Large Avocado",0,0,"480225","ASDA Grower's Selection Large Avocado","Avocado","ASDA Grower's Selection Large Avocado","ASDA",1,NA,1,"1","Each",2019-01-21
"NA Iceland Ripe & Ready Avocado",0,0,"NA","Iceland Ripe & Ready Avocado","Avocado","Iceland Ripe & Ready Avocado","Iceland",1.79,NA,1.79,"1","Each",2019-01-21
"454714 Oaklands Ready to Eat Avocado (2)",0,0,"454714","Oaklands Ready to Eat Avocado (2)","Avocado","Oaklands Ready to Eat Avocado ","Lidl",1.55,NA,0.775,"2","Each",2019-01-21
"520752 Lidl Avodillos (4)",0,0,"520752","Lidl Avodillos (4)","Avocado","Lidl Avodillos ","Lidl",1.69,NA,1.69,"4","Each",2019-01-21
"172058 Morrisons Avocado Ready to Eat (2)",0,0,"172058","Morrisons Avocado Ready to Eat (2)","Avocado","Morrisons Avocado Ready to Eat ","Morrisons",1.8,NA,0.9,"2","Each",2019-01-21
"540641 Morrisons Naturally Wonky Avocados (1Kg)",0,0,"540641","Morrisons Naturally Wonky Avocados (1Kg)","Avocado","Morrisons Naturally Wonky Avocados ","Morrisons",2.4,NA,2.4,"1Kg","Kg",2019-01-21
"421779 Morrisons Extra Large Avocado",0,0,"421779","Morrisons Extra Large Avocado","Avocado","Morrisons Extra Large Avocado","Morrisons",1.75,NA,1.75,"1","Each",2019-01-21
"312275 Morrisons Organic Avocados (2)",0,0,"312275","Morrisons Organic Avocados (2)","Avocado","Morrisons Organic Avocados ","Morrisons",2,NA,1,"2","Each",2019-01-21
"130510 Ocado Avocados (4)",0,0,"130510","Ocado Avocados (4)","Avocado","Ocado Avocados ","Ocado",1.85,NA,0.463,"4","Each",2019-01-21
"148780 Essential Waitrose Baby Avocados (4)",0,0,"148780","Essential Waitrose Baby Avocados (4)","Avocado","Essential Waitrose Baby Avocados ","Ocado",1.99,NA,0.498,"4","Each",2019-01-21
"248477 Ocado Ripe & Ready to Eat Avocados (3)",0,0,"248477","Ocado Ripe & Ready to Eat Avocados (3)","Avocado","Ocado Ripe & Ready to Eat Avocados ","Ocado",2.63,NA,0.877,"3","Each",2019-01-21
"026201 Waitrose 1 Perfectly Ripe Avocados (2)",0,0,"026201","Waitrose 1 Perfectly Ripe Avocados (2)","Avocado","Waitrose 1 Perfectly Ripe Avocados ","Ocado",2,NA,1,"2","Each",2019-01-21
"042650 Waitrose Organic Avocados (2)",0,0,"042650","Waitrose Organic Avocados (2)","Avocado","Waitrose Organic Avocados ","Ocado",2.8,NA,1.4,"2","Each",2019-01-21
"170148 Waitrose 1 Perfectly Ripe Avocado",0,0,"170148","Waitrose 1 Perfectly Ripe Avocado","Avocado","Waitrose 1 Perfectly Ripe Avocado","Ocado",1.29,1.03,1.29,"1","Each",2019-01-21
"309744 Love Me Tender Perfectly Ripe Avocado (2)",0,0,"309744","Love Me Tender Perfectly Ripe Avocado (2)","Avocado","Love Me Tender Perfectly Ripe Avocado ","Ocado",2.89,NA,1.16,"2","Each",2019-01-21
"413425 Waitrose Perfectly Ripe & Ripen at Home Avocados (4)",0,0,"413425","Waitrose Perfectly Ripe & Ripen at Home Avocados (4)","Avocado","Waitrose Perfectly Ripe & Ripen at Home Avocados ","Ocado",3.8,NA,0.95,"4","Each",2019-01-21
"287974 Natoora Large Ripe Haas Avocados (2)",0,0,"287974","Natoora Large Ripe Haas Avocados (2)","Avocado","Natoora Large Ripe Haas Avocados ","Ocado",5,NA,2.5,"2","Each",2019-01-21
"424343 Natoora Ripe Haas Avocados (3)",0,0,"424343","Natoora Ripe Haas Avocados (3)","Avocado","Natoora Ripe Haas Avocados ","Ocado",5,NA,1.67,"3","Each",2019-01-21
"342442 Ocado Extra Large Avocado (2)",0,0,"342442","Ocado Extra Large Avocado (2)","Avocado","Ocado Extra Large Avocado ","Ocado",3.5,NA,1.75,"2","Each",2019-01-21
